dim_1,dim_2,gene,0,1
0.0,273.0,CD14,23.661821705426355,258.7315891472868
0.0,288.0,CD14,23.661821705426355,258.7315891472868
0.0,749.0,CD14,7.79296875,733.34765625
3.0,280.0,CD14,23.661821705426355,258.7315891472868
6.0,16.0,CD14,14.8659793814433,45.34167893961708
6.0,1016.0,CD14,41.733118971061096,1025.4710610932475
6.0,1029.0,CD14,41.733118971061096,1025.4710610932475
7.0,234.0,CD11c,10.331658291457286,220.2964824120603
7.0,745.0,CD14,7.79296875,733.34765625
9.0,230.0,CD11c,10.331658291457286,220.2964824120603
10.0,745.0,CD14,7.79296875,733.34765625
11.0,1024.0,CD14,41.733118971061096,1025.4710610932475
11.0,1524.0,CD14,25.318002628120894,1530.8817345597897
11.0,1529.0,CD14,25.318002628120894,1530.8817345597897
11.0,1548.0,CD11c,25.318002628120894,1530.8817345597897
11.0,1551.0,CD11c,25.318002628120894,1530.8817345597897
11.0,1563.0,CD14,23.93944099378882,1582.4114906832299
11.0,1590.0,CD11c,23.93944099378882,1582.4114906832299
11.0,1703.0,CD14,23.88007736943907,1684.7911025145067
12.0,1194.0,CD14,26.495495495495497,1188.7347347347347
13.0,1558.0,CD11c,23.93944099378882,1582.4114906832299
13.0,50.0,CD14,14.8659793814433,45.34167893961708
13.0,572.0,CD14,7.53091684434968,507.0426439232409
13.0,1026.0,CD14,41.733118971061096,1025.4710610932475
13.0,1530.0,CD14,25.318002628120894,1530.8817345597897
13.0,1877.0,CD14,40.368115942028986,1887.7826086956522
15.0,262.0,CD14,23.661821705426355,258.7315891472868
15.0,1596.0,CD14,23.93944099378882,1582.4114906832299
16.0,251.0,CD14,23.661821705426355,258.7315891472868
16.0,1550.0,CD14,25.318002628120894,1530.8817345597897
16.0,1677.0,CD14,23.88007736943907,1684.7911025145067
17.0,574.0,CD14,7.53091684434968,507.0426439232409
18.0,46.0,CD14,14.8659793814433,45.34167893961708
18.0,1561.0,CD11c,23.93944099378882,1582.4114906832299
18.0,1666.0,CD14,23.88007736943907,1684.7911025145067
18.0,1677.0,CD14,23.88007736943907,1684.7911025145067
19.0,567.0,CD14,7.53091684434968,507.0426439232409
19.0,1514.0,CD14,25.318002628120894,1530.8817345597897
19.0,1524.0,CD14,25.318002628120894,1530.8817345597897
19.0,1656.0,CD11c,39.325036603221086,1663.471449487555
19.0,1670.0,CD14,23.88007736943907,1684.7911025145067
20.0,1092.0,CD14,23.92970123022847,1097.5202108963092
20.0,1217.0,CD14,26.495495495495497,1188.7347347347347
21.0,183.0,CD14,12.459317585301838,191.66929133858267
22.0,549.0,CD14,7.53091684434968,507.0426439232409
22.0,1321.0,CD11c,50.00327868852459,1330.9016393442623
23.0,1326.0,CD14,50.00327868852459,1330.9016393442623
23.0,1587.0,CD11c,23.93944099378882,1582.4114906832299
23.0,1664.0,CD11c,39.325036603221086,1663.471449487555
24.0,32.0,CD14,14.8659793814433,45.34167893961708
24.0,1643.0,CD14,16.67816091954023,1630.6283524904215
25.0,25.0,CD14,43.30739299610895,24.652399481193257
25.0,209.0,CD14,30.943089430894307,214.65853658536585
25.0,547.0,CD14,7.53091684434968,507.0426439232409
26.0,653.0,CD14,7.829181494661921,677.7508896797153
26.0,668.0,CD11c,24.23699421965318,682.2312138728323
26.0,743.0,CD14,43.961123110151185,754.7300215982722
27.0,62.0,CD14,14.8659793814433,45.34167893961708
27.0,246.0,CD14,23.661821705426355,258.7315891472868
27.0,717.0,CD14,7.79296875,733.34765625
28.0,1325.0,CD11c,50.00327868852459,1330.9016393442623
28.0,1662.0,CD14,39.325036603221086,1663.471449487555
29.0,553.0,CD14,7.53091684434968,507.0426439232409
30.0,235.0,CD14,23.661821705426355,258.7315891472868
30.0,237.0,CD14,23.661821705426355,258.7315891472868
30.0,267.0,CD14,23.661821705426355,258.7315891472868
30.0,713.0,CD14,41.80287769784173,693.1179856115108
30.0,1052.0,CD14,41.733118971061096,1025.4710610932475
30.0,1071.0,CD14,23.92970123022847,1097.5202108963092
30.0,1596.0,CD11c,23.93944099378882,1582.4114906832299
31.0,27.0,CD14,43.30739299610895,24.652399481193257
31.0,58.0,CD14,14.8659793814433,45.34167893961708
31.0,252.0,CD14,23.661821705426355,258.7315891472868
31.0,652.0,CD14,7.829181494661921,677.7508896797153
31.0,699.0,CD14,41.80287769784173,693.1179856115108
31.0,1581.0,CD11c,23.93944099378882,1582.4114906832299
32.0,1587.0,CD11c,23.93944099378882,1582.4114906832299
32.0,1602.0,CD11c,23.93944099378882,1582.4114906832299
35.0,1586.0,CD11c,23.93944099378882,1582.4114906832299
36.0,1020.0,CD14,41.733118971061096,1025.4710610932475
37.0,22.0,CD14,43.30739299610895,24.652399481193257
