center_x,center_y,radius,gene,count
1142.0050505050503,1378.1839328282829,60,RPST,0
1142.0050505050503,1378.1839328282829,60,TMEM107,13
1142.0050505050503,1378.1839328282829,60,MX1,23
1142.0050505050503,1378.1839328282829,60,TNFAIP3,0
1142.0050505050503,1378.1839328282829,60,COX1,5
1142.0050505050503,1378.1839328282829,60,STAT1,0
1142.0050505050503,1378.1839328282829,60,DDIT3,0
1142.0050505050503,1378.1839328282829,60,PIK3R1,6
1142.0050505050503,1378.1839328282829,60,DUSP1,0
1142.0050505050503,1378.1839328282829,60,PYCARD,0
1142.0050505050503,1378.1839328282829,60,CD1D,2
1142.0050505050503,1378.1839328282829,60,IFNA,4
1142.0050505050503,1378.1839328282829,60,IFNB,53
1142.0050505050503,1378.1839328282829,60,IFNG,7
1142.0050505050503,1378.1839328282829,60,CSF3,7
1142.0050505050503,1378.1839328282829,60,TNFSF13B,2
1142.0050505050503,1378.1839328282829,60,CCL2,1
1142.0050505050503,1378.1839328282829,60,IL8,3
1142.0050505050503,1378.1839328282829,60,IL10,1
1142.0050505050503,1378.1839328282829,60,TNFSF10,0
1142.0050505050503,1378.1839328282829,60,CXCL10,66
1142.0050505050503,1378.1839328282829,60,PDL1,0
1142.0050505050503,1378.1839328282829,60,CD279,0
1142.0050505050503,1378.1839328282829,60,TNFA,0
1142.0050505050503,1378.1839328282829,60,IL17A,0
1142.0050505050503,1378.1839328282829,60,TGFB,7
1142.0050505050503,1378.1839328282829,60,IL1B2,0
1142.0050505050503,1378.1839328282829,60,B646L,100
1142.0050505050503,1378.1839328282829,60,MGF_360-9L,2
1142.0050505050503,1378.1839328282829,60,MGF_360-2L,0
1142.0050505050503,1378.1839328282829,60,MGF_505-7R,1
1142.0050505050503,1378.1839328282829,60,MGF_110-9L,28
1142.0050505050503,1378.1839328282829,60,EP402R,2
1142.0050505050503,1378.1839328282829,60,S273R,0
1142.0050505050503,1378.1839328282829,60,B646L,100
1142.0050505050503,1378.1839328282829,120,RPST,1
1142.0050505050503,1378.1839328282829,120,TMEM107,34
1142.0050505050503,1378.1839328282829,120,MX1,75
1142.0050505050503,1378.1839328282829,120,TNFAIP3,2
1142.0050505050503,1378.1839328282829,120,COX1,11
1142.0050505050503,1378.1839328282829,120,STAT1,4
1142.0050505050503,1378.1839328282829,120,DDIT3,0
1142.0050505050503,1378.1839328282829,120,PIK3R1,10
1142.0050505050503,1378.1839328282829,120,DUSP1,0
1142.0050505050503,1378.1839328282829,120,PYCARD,1
1142.0050505050503,1378.1839328282829,120,CD1D,3
1142.0050505050503,1378.1839328282829,120,IFNA,4
1142.0050505050503,1378.1839328282829,120,IFNB,16
1142.0050505050503,1378.1839328282829,120,IFNG,40
1142.0050505050503,1378.1839328282829,120,CSF3,9
1142.0050505050503,1378.1839328282829,120,TNFSF13B,4
1142.0050505050503,1378.1839328282829,120,CCL2,13
1142.0050505050503,1378.1839328282829,120,IL8,3
1142.0050505050503,1378.1839328282829,120,IL10,2
1142.0050505050503,1378.1839328282829,120,TNFSF10,1
1142.0050505050503,1378.1839328282829,120,CXCL10,118
1142.0050505050503,1378.1839328282829,120,PDL1,3
1142.0050505050503,1378.1839328282829,120,CD279,0
1142.0050505050503,1378.1839328282829,120,TNFA,0
1142.0050505050503,1378.1839328282829,120,IL17A,0
1142.0050505050503,1378.1839328282829,120,TGFB,13
1142.0050505050503,1378.1839328282829,120,IL1B2,3
1142.0050505050503,1378.1839328282829,120,B646L,0
1142.0050505050503,1378.1839328282829,120,MGF_360-9L,12
1142.0050505050503,1378.1839328282829,120,MGF_360-2L,1
1142.0050505050503,1378.1839328282829,120,MGF_505-7R,2
1142.0050505050503,1378.1839328282829,120,MGF_110-9L,11
1142.0050505050503,1378.1839328282829,120,EP402R,0
1142.0050505050503,1378.1839328282829,120,S273R,2
1142.0050505050503,1378.1839328282829,120,B646L,0
1142.0050505050503,1378.1839328282829,200,RPST,3
1142.0050505050503,1378.1839328282829,200,TMEM107,49
1142.0050505050503,1378.1839328282829,200,MX1,106
1142.0050505050503,1378.1839328282829,200,TNFAIP3,0
1142.0050505050503,1378.1839328282829,200,COX1,19
1142.0050505050503,1378.1839328282829,200,STAT1,2
1142.0050505050503,1378.1839328282829,200,DDIT3,0
1142.0050505050503,1378.1839328282829,200,PIK3R1,27
1142.0050505050503,1378.1839328282829,200,DUSP1,1
1142.0050505050503,1378.1839328282829,200,PYCARD,1
1142.0050505050503,1378.1839328282829,200,CD1D,14
1142.0050505050503,1378.1839328282829,200,IFNA,21
1142.0050505050503,1378.1839328282829,200,IFNB,47
1142.0050505050503,1378.1839328282829,200,IFNG,65
1142.0050505050503,1378.1839328282829,200,CSF3,21
1142.0050505050503,1378.1839328282829,200,TNFSF13B,6
1142.0050505050503,1378.1839328282829,200,CCL2,12
1142.0050505050503,1378.1839328282829,200,IL8,32
1142.0050505050503,1378.1839328282829,200,IL10,0
1142.0050505050503,1378.1839328282829,200,TNFSF10,1
1142.0050505050503,1378.1839328282829,200,CXCL10,186
1142.0050505050503,1378.1839328282829,200,PDL1,2
1142.0050505050503,1378.1839328282829,200,CD279,0
1142.0050505050503,1378.1839328282829,200,TNFA,0
1142.0050505050503,1378.1839328282829,200,IL17A,1
1142.0050505050503,1378.1839328282829,200,TGFB,35
1142.0050505050503,1378.1839328282829,200,IL1B2,1
1142.0050505050503,1378.1839328282829,200,B646L,7
1142.0050505050503,1378.1839328282829,200,MGF_360-9L,35
1142.0050505050503,1378.1839328282829,200,MGF_360-2L,0
1142.0050505050503,1378.1839328282829,200,MGF_505-7R,2
1142.0050505050503,1378.1839328282829,200,MGF_110-9L,34
1142.0050505050503,1378.1839328282829,200,EP402R,0
1142.0050505050503,1378.1839328282829,200,S273R,0
1142.0050505050503,1378.1839328282829,200,B646L,7
992.8651145454545,325.3815201010101,60,RPST,1
992.8651145454545,325.3815201010101,60,TMEM107,15
992.8651145454545,325.3815201010101,60,MX1,33
992.8651145454545,325.3815201010101,60,TNFAIP3,0
992.8651145454545,325.3815201010101,60,COX1,6
992.8651145454545,325.3815201010101,60,STAT1,5
992.8651145454545,325.3815201010101,60,DDIT3,0
992.8651145454545,325.3815201010101,60,PIK3R1,7
992.8651145454545,325.3815201010101,60,DUSP1,1
992.8651145454545,325.3815201010101,60,PYCARD,1
992.8651145454545,325.3815201010101,60,CD1D,7
992.8651145454545,325.3815201010101,60,IFNA,16
992.8651145454545,325.3815201010101,60,IFNB,26
992.8651145454545,325.3815201010101,60,IFNG,11
992.8651145454545,325.3815201010101,60,CSF3,2
992.8651145454545,325.3815201010101,60,TNFSF13B,8
992.8651145454545,325.3815201010101,60,CCL2,2
992.8651145454545,325.3815201010101,60,IL8,0
992.8651145454545,325.3815201010101,60,IL10,0
992.8651145454545,325.3815201010101,60,TNFSF10,1
992.8651145454545,325.3815201010101,60,CXCL10,33
992.8651145454545,325.3815201010101,60,PDL1,3
992.8651145454545,325.3815201010101,60,CD279,0
992.8651145454545,325.3815201010101,60,TNFA,0
992.8651145454545,325.3815201010101,60,IL17A,0
992.8651145454545,325.3815201010101,60,TGFB,3
992.8651145454545,325.3815201010101,60,IL1B2,0
992.8651145454545,325.3815201010101,60,B646L,78
992.8651145454545,325.3815201010101,60,MGF_360-9L,13
992.8651145454545,325.3815201010101,60,MGF_360-2L,0
992.8651145454545,325.3815201010101,60,MGF_505-7R,2
992.8651145454545,325.3815201010101,60,MGF_110-9L,62
992.8651145454545,325.3815201010101,60,EP402R,0
992.8651145454545,325.3815201010101,60,S273R,1
992.8651145454545,325.3815201010101,60,B646L,78
992.8651145454545,325.3815201010101,120,RPST,3
