center_y,center_x,radius,AM,Mac,Undefined,AT2,Dendritic,Endothelial,Neutrophil,Treg,Tc,NK_cell,T_others,AT1,B_cell,Monocyte
1378.1839328282829,1142.0050505050503,60,2.0,1.0,1.0,,,,,,,,,,,
1378.1839328282829,1142.0050505050503,120,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
1378.1839328282829,1142.0050505050503,180,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,
325.3815201010101,992.8651145454545,60,,1.0,,,1.0,,,,1.0,,4.0,,,
325.3815201010101,992.8651145454545,120,,6.0,4.0,,3.0,,,2.0,1.0,1.0,2.0,,,
325.3815201010101,992.8651145454545,180,3.0,12.0,8.0,4.0,0.0,,,0.0,5.0,1.0,0.0,1.0,1.0,
772.7092342424243,1790.8520202020202,60,,,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0
772.7092342424243,1790.8520202020202,120,,4.0,3.0,2.0,0.0,2.0,,1.0,3.0,1.0,4.0,2.0,,1.0
772.7092342424243,1790.8520202020202,180,3.0,4.0,4.0,2.0,1.0,1.0,,1.0,0.0,0.0,6.0,0.0,,0.0
1194.0772727272729,585.9737015151516,60,,1.0,,,1.0,2.0,,,1.0,,1.0,,,
1194.0772727272729,585.9737015151516,120,,3.0,5.0,,1.0,2.0,,,1.0,,3.0,3.0,,
1194.0772727272729,585.9737015151516,180,2.0,4.0,2.0,1.0,3.0,1.0,,1.0,0.0,1.0,2.0,0.0,,1.0
840.3026126262627,420.3015151515152,60,,1.0,,,1.0,,,,1.0,,,1.0,,
840.3026126262627,420.3015151515152,120,,3.0,3.0,1.0,2.0,,,,1.0,,1.0,3.0,,
840.3026126262627,420.3015151515152,180,3.0,10.0,4.0,1.0,2.0,4.0,,,2.0,,2.0,0.0,1.0,1.0
